CUI,NAME,DEF
C0000176,19-Iodocholesterol,"19-Iodocholest-5-en-3 beta-ol. A cholesterol derivative usually substituted with radioactive iodine in the 19 position. The compound is an adrenal cortex scanning agent used in the assessment of patients suspected of having Cushing's syndrome, hyperaldosteronism, pheochromocytoma and adrenal remnants following total adrenalectomy."
C0000184,"2',3'-Cyclic-Nucleotide Phosphodiesterases","Nucleoside-2',3'-cyclic phosphate nucleotidohydrolase. Enzymes that catalyze the hydrolysis of the 2'- or 3'- phosphate bonds of 2',3'-cyclic nucleotides. Also hydrolyzes nucleoside monophosphates. Includes EC 3.1.4.16 and EC 3.1.4.37. EC 3.1.4.-."
C0000189,2-5A Synthetase,An enzyme that catalyzes the conversion of ATP into a series of (2'-5') linked oligoadenylates and pyrophosphate in the presence of double-stranded RNA. These oligonucleotides activate an endoribonuclease (RNase L) which cleaves single-stranded RNA. Interferons can act as inducers of these reactions.
C0000194,"2,2'-Dipyridyl",A reagent used for the determination of iron.
C0000204,"2,3-Diketogulonic Acid",Metabolite of ASCORBIC ACID and the oxidized form of the lactone DEHYDROASCORBIC ACID.
C0000215,"2,4,5-Trichlorophenoxyacetic Acid","An herbicide with strong irritant properties. Use of this compound on rice fields, orchards, sugarcane, rangeland, and other noncrop sites was terminated by the EPA in 1985. (From Merck Index, 11th ed)"
C0000220,"2,4-Dichlorophenoxyacetic Acid",An herbicide with irritant effects on the eye and the gastrointestinal system.
C0000232,"2,6-Dichloroindophenol",A dye used as a reagent in the determination of vitamin C.
C0000246,2-Acetolactate Mutase,An enzyme involved in the biosynthesis of isoleucine and valine. It converts 2-acetolactate into 3-hydroxy-2-oxo-isovalerate. Also acts on 2-hydroxy-2-acetobutyrate to form 2-hydroxy-2-oxo-3-methylvalerate. EC 5.4.99.3.
C0000248,2-Acetylaminofluorene,A hepatic carcinogen whose mechanism of activation involves N-hydroxylation to the aryl hydroxamic acid followed by enzymatic sulfonation to sulfoxyfluorenylacetamide. It is used to study the carcinogenicity and mutagenicity of aromatic amines.
C0000254,2-Amino-5-phosphonovalerate,"The D-enantiomer is a potent and specific antagonist of NMDA glutamate receptors (RECEPTORS, N-METHYL-D-ASPARTATE). The L form is inactive at NMDA receptors but may affect the AP4 (2-amino-4-phosphonobutyrate; APB) excitatory amino acid receptors."
C0000257,2-Aminoadipic Acid,"A metabolite in the principal biochemical pathway of lysine. It antagonizes neuroexcitatory activity modulated by the glutamate receptor, N-METHYL-D-ASPARTATE; (NMDA)."
C0000263,2-Aminopurine,A purine that is an isomer of ADENINE (6-aminopurine).
C0000275,2-Chloroadenosine,2-Chloroadenosine. A metabolically stable analog of adenosine which acts as an adenosine receptor agonist. The compound has a potent effect on the peripheral and central nervous system.
C0000287,2-Hydroxy-5-nitrobenzyl Bromide,A chemical reagent that reacts with and modifies chemically the tryptophan portion of protein molecules. Used for 'active site' enzyme studies and other protein studies. Sometimes referred to as Koshland's reagent.
C0000289,2-Hydroxyphenethylamine,Simple amine found in the brain. It may be modulator of sympathetic functions. Its derivatives are adrenergic agonists and antagonists. It is also used in chemical industry.
C0000291,2-Isopropylmalate Synthase,"An enzyme that catalyzes the first step in the biosynthetic pathway to LEUCINE, forming isopropyl malate from acetyl-CoA and alpha-ketoisovaleric acid. This enzyme was formerly listed as EC 4.1.3.12."
C0000294,mesna,"A sulfhydryl compound used to prevent urothelial toxicity by inactivating metabolites from ANTINEOPLASTIC AGENTS, such as IFOSFAMIDE or CYCLOPHOSPHAMIDE."
C0000300,2-Naphthylamine,A naphthalene derivative with carcinogenic action.
C0000324,20-Hydroxysteroid Dehydrogenases,"A group of enzymes that catalyze the reversible reduction-oxidation reaction of 20-hydroxysteroids, such as from a 20-ketosteroid to a 20-alpha-hydroxysteroid (EC 1.1.1.149) or to a 20-beta-hydroxysteroid (EC 1.1.1.53)."
C0000325,20-Methylcholanthrene,A polycyclic aromatic hydrocarbon that consists of five fused rings with carcinogenic activity. 20-Methylcholanthrene is often used in experimental cancer studies.
C0000334,"24,25-Dihydroxyvitamin D 3","A physiologically active metabolite of VITAMIN D. The compound is involved in the regulation of calcium metabolism, alkaline phosphatase activity, and enhancing the calcemic effect of CALCITRIOL."
C0000340,Calcidiol 1-Monooxygenase,"A mitochondrial cytochrome P450 enzyme that catalyzes the 1-alpha-hydroxylation of 25-hydroxyvitamin D3 (also known as 25-hydroxycholecalciferol) in the presence of molecular oxygen and NADPH-FERRIHEMOPROTEIN REDUCTASE. This enzyme, encoded by CYP27B1 gene, converts 25-hydroxyvitamin D3 to 1-alpha,25-dihydroxyvitamin D3 which is the active form of VITAMIN D in regulating bone growth and calcium metabolism. This enzyme is also active on plant 25-hydroxyvitamin D2 (ergocalciferol)."
C0000343,25-Hydroxyvitamin D 2,"9,10-Secoergosta-5,7,10(19),22-tetraene-3,25-diol. Biologically active metabolite of vitamin D2 which is more active in curing rickets than its parent. The compound is believed to attach to the same receptor as vitamin D2 and 25-hydroxyvitamin D3."
C0000359,"3',5'-Cyclic-Nucleotide Phosphodiesterase","Enzymes that catalyze the hydrolysis of CYCLIC AMP to form adenosine 5'-phosphate. The enzymes are widely distributed in animal tissue and control the level of intracellular cyclic AMP. Many specific enzymes classified under this heading demonstrate additional spcificity for 3',5'-cyclic IMP and CYCLIC GMP."
C0000360,"3',5'-Cyclic-GMP Phosphodiesterases",Enzymes that catalyze the hydrolysis of cyclic GMP to yield guanosine-5'-phosphate.
C0000368,"3,3'-Diaminobenzidine",A chemically and thermodynamically stable derivative of BENZIDINE.
C0000370,"3,3-Dichlorobenzidine",A material used in the manufacture of azo dyes that is toxic to skin and carcinogenic in several species.
C0000376,"3,4-Dihydroxyphenylacetic Acid",A deaminated metabolite of LEVODOPA.
C0000378,droxidopa,A synthetic precursor of norepinephrine that is used in the treatment of PARKINSONIAN DISORDERS and ORTHOSTATIC HYPOTENSION.
C0000379,"3,4-Methylenedioxyamphetamine",An amphetamine derivative that inhibits uptake of catecholamine neurotransmitters. It is a hallucinogen. It is less toxic than its methylated derivative but in sufficient doses may still destroy serotonergic neurons and has been used for that purpose experimentally.
C0000392,beta-alanine,"An amino acid formed in vivo by the degradation of dihydrouracil and carnosine. Since neuronal uptake and neuronal receptor sensitivity to beta-alanine have been demonstrated, the compound may be a false transmitter replacing GAMMA-AMINOBUTYRIC ACID. A rare genetic disorder, hyper-beta-alaninemia, has been reported."
C0000399,3-Deazauridine,4-Hydroxy-1-(beta-D-ribofuranosyl)-2-pyridinone. Analog of uridine lacking a ring-nitrogen in the 3-position. Functions as an antineoplastic agent.
C0000402,Meglutol,"An antilipemic agent which lowers cholesterol, triglycerides, serum beta-lipoproteins and phospholipids. It acts by interfering with the enzymatic steps involved in the conversion of acetate to hydroxymethylglutaryl coenzyme A as well as inhibiting the activity of HYDROXYMETHYLGLUTARYL COA REDUCTASES which is the rate limiting enzyme in the biosynthesis of cholesterol."
C0000404,3-Hydroxyacyl CoA Dehydrogenases,Enzymes that reversibly catalyze the oxidation of a 3-hydroxyacyl CoA to 3-ketoacyl CoA in the presence of NAD. They are key enzymes in the oxidation of fatty acids and in mitochondrial fatty acid synthesis.
C0000407,3-Hydroxyanthranilic Acid,An oxidation product of tryptophan metabolism. It may be a free radical scavenger and a carcinogen.
C0000413,3-Hydroxysteroid Dehydrogenases,Catalyze the oxidation of 3-hydroxysteroids to 3-ketosteroids.
C0000424,3-Mercaptopropionic Acid,"An inhibitor of glutamate decarboxylase. It decreases the GAMMA-AMINOBUTYRIC ACID concentration in the brain, thereby causing convulsions."
C0000427,3-Methoxy-4-hydroxyphenylethanol,Metabolite of serotonin and norepinephrine.
C0000435,3-Oxoacyl-(Acyl-Carrier-Protein) Synthase,"An enzyme of long-chain fatty acid synthesis, that adds a two-carbon unit from malonyl-(acyl carrier protein) to another molecule of fatty acyl-(acyl carrier protein), giving a beta-ketoacyl-(acyl carrier protein) with the release of carbon dioxide. EC 2.3.1.41."
C0000473,4-aminobenzoic acid,An aminobenzoic acid isomer that combines with pteridine and GLUTAMIC ACID to form FOLIC ACID. The fact that 4-aminobenzoic acid absorbs light throughout the UVB range has also resulted in its use as an ingredient in SUNSCREENS.
C0000477,dalfampridine,One of the POTASSIUM CHANNEL BLOCKERS with secondary effect on calcium currents which is used mainly as a research tool and to characterize channel subtypes.
C0000481,4-Butyrolactone,One of the FURANS with a carbonyl thereby forming a cyclic lactone. It is an endogenous compound made from gamma-aminobutyrate and is the precursor of gamma-hydroxybutyrate. It is also used as a pharmacological agent and solvent.
C0000498,4-Hydroxyaminoquinoline-1-oxide,A potent mutagen and carcinogen. It is a reduction product of 4-NITROQUINOLINE-1-OXIDE. It binds with nucleic acids and inactivates both bacteria and bacteriophage.
C0000500,4-Hydroxybenzoate 3-monooxygenase,A flavoprotein that catalyzes the synthesis of protocatechuic acid from 4-hydroxybenzoate in the presence of molecular oxygen. EC 1.14.13.2.
C0000503,oxybate,"hydroxy derivative of butyric acid substituted at the gamma, or 4 position; intermediate in the metabolism of gamma-aminobutyric acid (GABA)."
C0000506,4-Hydroxycoumarins,"Substances found in many plants, containing the 4-hydroxycoumarin radical. They interfere with vitamin K and the blood clotting mechanism, are tightly protein-bound, inhibit mitochondrial and microsomal enzymes, and are used as oral anticoagulants."
C0000507,4-Hydroxyphenylpyruvate Dioxygenase,An enzyme that catalyzes the conversion of 4-hydroxyphenylpyruvate plus oxygen to homogentisic acid and carbon dioxide. EC 1.13.11.27.
C0000511,4-Nitroquinoline-1-oxide,A potent mutagen and carcinogen. This compound and its metabolite 4-HYDROXYAMINOQUINOLINE-1-OXIDE bind to nucleic acids. It inactivates bacteria but not bacteriophage.
C0000530,5'-NUCLEOTIDASE,A glycoprotein enzyme present in various organs and in many cells. The enzyme catalyzes the hydrolysis of a 5'-ribonucleotide to a ribonucleoside and orthophosphate in the presence of water. It is cation-dependent and exists in a membrane-bound and soluble form. EC 3.1.3.5.
C0000543,"5,6-Dihydroxytryptamine",Tryptamine substituted with two hydroxyl groups in positions 5 and 6. It is a neurotoxic serotonin analog that destroys serotonergic neurons preferentially and is used in neuropharmacologic research.
C0000544,"5,7-Dihydroxytryptamine",Tryptamine substituted with two hydroxyl groups in positions 5 and 7. It is a neurotoxic serotonin analog that destroys serotonergic neurons preferentially and is used in neuropharmacology as a tool.
C0000545,eicosapentaenoic acid,"An essential, polyunsaturated, 20-carbon omega-3 fatty acid with anti-inflammatory and potential antineoplastic and chemopreventive activities. Eicosapentaenoic acid (EPA) may activate caspase 3, resulting in apoptosis in susceptible tumor cell populations. In addition, this agent may inhibit cyclooxygenase-2 (COX-2), resulting in inhibition of prostaglandin synthesis and prostaglandin-mediated inflammatory processes."
C0000546,"5,8,11,14-Eicosatetraynoic Acid",A 20-carbon unsaturated fatty acid containing 4 alkyne bonds. It inhibits the enzymatic conversion of arachidonic acid to prostaglandins E(2) and F(2a).
C0000551,"Androstane-3,17-diol","The unspecified form of the steroid, normally a major metabolite of TESTOSTERONE with androgenic activity. It has been implicated as a regulator of gonadotropin secretion."
C0000578,5-hydroxytryptophan,The immediate precursor in the biosynthesis of SEROTONIN from tryptophan. It is used as an antiepileptic and antidepressant.
C0000588,Methylbufotenin,"major of two hallucinogenic components of Teonanacatl, the sacred mushroom of Mexico, the other component being psilocin."
C0000589,5-methoxytryptamine,Serotonin derivative proposed as potentiator for hypnotics and sedatives.
C0000598,ticlopidine hydrochloride,"The hydrochloride salt form of ticlopidine, a thienopyridine derivative with anticoagulant property. Ticlopidine hydrochloride irreversibly inhibits adenosine-diphosphate (ADP)-induced platelet-fibrinogen binding by binding to the glycoprotein (GP) IIb/IIIA complex, one of the two purinergic receptors activated by ADP. Inhibition of the receptor activation causes the inhibition of adenylyl cyclase, results in decreased levels of cyclic adenosine monophosphate and thereby interferes with platelet membrane function and subsequent, platelet-platelet interaction, release of platelet granule constituents and prolongation of bleeding time."
C0000608,6-aminocaproic acid,"A synthetic lysine derivative with antifibrinolytic activity. Aminocaproic acid competitively inhibits activation of plasminogen, thereby reducing conversion of plasminogen to plasmin (fibrinolysin), an enzyme that degrades fibrin clots as well as fibrinogen and other plasma proteins including the procoagulant factors V and VIII. Aminocaproic acid competitively reduces the conversion of plasminogen to plasmin by plasminogen activators. It directly inhibits proteolytic activity of plasmin, but higher doses are required than are needed to reduce plasmin formation. Aminocaproic acid is used in the treatment of hemorrhage and prophylactically against hemorrhage, including hyperfibrinolysis-induced hemorrhage and postsurgical hemorrhage."
C0000610,6-Aminonicotinamide,A vitamin antagonist which has teratogenic effects.
C0000617,6-Ketoprostaglandin F1 alpha,The physiologically active and stable hydrolysis product of EPOPROSTENOL. Found in nearly all mammalian tissue.
C0000618,mercaptopurine,"An antimetabolite antineoplastic agent with immunosuppressant properties. It interferes with nucleic acid synthesis by inhibiting purine metabolism and is used, usually in combination with other drugs, in the treatment of or in remission maintenance programs for leukemia."
C0000641,"7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide","7,8,8a,9a-Tetrahydrobenzo(10,11)chryseno (3,4-b)oxirene-7,8-diol. A benzopyrene derivative with carcinogenic and mutagenic activity."
C0000644,7-Alkoxycoumarin O-Dealkylase,"A drug-metabolizing enzyme found in the hepatic, placental and intestinal microsomes that metabolizes 7-alkoxycoumarin to 7-hydroxycoumarin. The enzyme is cytochrome P-450- dependent."
C0000656,7S Collagen,A stable peptide fragment originating from the N-terminal domain of collagen type IV.
C0000658,"8,11,14-Eicosatrienoic Acid","A 20-carbon-chain fatty acid, unsaturated at positions 8, 11, and 14. It differs from arachidonic acid, 5,8,11,14-eicosatetraenoic acid, only at position 5."
C0000661,8-Bromo Cyclic Adenosine Monophosphate,"A long-acting derivative of cyclic AMP. It is an activator of cyclic AMP-dependent protein kinase, but resistant to degradation by cyclic AMP phosphodiesterase."
C0000665,oxyquinoline,"An antiseptic with mild fungistatic, bacteriostatic, anthelmintic, and amebicidal action. It is also used as a reagent and metal chelator, as a carrier for radio-indium for diagnostic purposes, and its halogenated derivatives are used in addition as topical anti-infective agents and oral antiamebics."
C0000677,"9,10-Dimethyl-1,2-benzanthracene",Polycyclic aromatic hydrocarbon found in tobacco smoke that is a potent carcinogen.
C0000696,A Fibers,a kind of nerve fiber
C0000697,A gamma-Globin,A type of gamma-globin encoded by the A gamma globin gene on CHROMOSOME 11.
C0000699,Calcimycin,"An ionophorous, polyether antibiotic from Streptomyces chartreusensis. It binds and transports CALCIUM and other divalent cations across membranes and uncouples oxidative phosphorylation while inhibiting ATPase of rat liver mitochondria. The substance is used mostly as a biochemical tool to study the role of divalent cations in various biological systems."
C0000702,"DNA, A-Form","An isoform of DNA that occurs in an environment rich in SODIUM and POTASSIUM ions. It is a right-handed helix with 11 base pairs per turn, a pitch of 0.256 nm per base pair and a helical diameter of 2.3 nm."
C0000714,Temefos,An organothiophosphate insecticide.
C0000715,Abattoirs,Places where animals are slaughtered and dressed for market.
C0000722,Abbreviated Injury Scale,"Classification system for assessing impact injury severity developed and published by the American Association for Automotive Medicine. It is the system of choice for coding single injuries and is the foundation for methods assessing multiple injuries or for assessing cumulative effects of more than one injury. These include Maximum AIS (MAIS), Injury Severity Score (ISS), and Probability of Death Score (PODS)."
C0000723,Abbreviations,A shortened form of a word or phrase.
C0000726,Abdomen,That portion of the body that lies between the THORAX and the PELVIS.
C0000727,"Abdomen, Acute","A clinical syndrome with acute abdominal pain that is severe, localized, and rapid in onset. Acute abdomen may be caused by a variety of disorders, injuries, or diseases."
C0000729,Abdominal Cramps,A type of abdominal pain characterized by a feeling of contractions and typically fluctuating in intensity. []
C0000731,ABDOMENAREN BOLUMEN ALDAKETA/ABDOMEN HAUNDITZEA,Distention of the abdomen. [HPO:probinson]
C0000734,MASA ABDOMINALA EZ,An abnormal enlargement or swelling in the abdomen. []
C0000735,Abdominal Neoplasms,New abnormal growth of tissue in the ABDOMEN.
C0000737,Abdominal Pain,"Sensation of discomfort, distress, or agony in the abdominal region."
C0000739,Abdominal Muscles,"Muscles forming the ABDOMINAL WALL including RECTUS ABDOMINIS; ABDOMINAL OBLIQUE MUSCLES, transversus abdominis, pyramidalis muscles and quadratus abdominis."
C0000741,Abducens nerve structure,The 6th cranial nerve which originates in the ABDUCENS NUCLEUS of the PONS and sends motor fibers to the lateral rectus muscles of the EYE. Damage to the nerve or its nucleus disrupts horizontal eye movement control.
C0000742,Abelson murine leukemia virus,"replication defective strain of murine leukemia virus capable of transforming lymphoid cells and producing a rapidly progressing lymphoid leukemia after superinfection with Maloney, Friend or Rauscher murine leukemia virus."
C0000744,Abetalipoproteinemia,"An autosomal recessive disorder of lipid metabolism. It is caused by mutation of the microsomal triglyceride transfer protein that catalyzes the transport of lipids (TRIGLYCERIDES; CHOLESTEROL ESTERS; PHOSPHOLIPIDS) and is required in the secretion of BETA-LIPOPROTEINS (low density lipoproteins or LDL). Features include defective intestinal lipid absorption, very low serum cholesterol level, and near absent LDL."
C0000768,LISERI SISTEMAKO SORTZETIKO ANOMALIA,Malformations of organs or body parts during development in utero.
C0000769,teratologic,Used with organs for congenital defects producing changes in the morphology of the organ. It is used also for abnormalities in animals.
C0000771,"Abnormalities, Drug-Induced","Congenital abnormalities caused by medicinal substances or drugs of abuse given to or taken by the mother, or to which she is inadvertently exposed during the manufacture of such substances. The concept excludes abnormalities resulting from exposure to non-medicinal chemicals in the environment."
C0000772,SORTZETIKO SINDROMEAK/SORTZETIKO ANOMALIA-MULTIPLEAK,Congenital abnormalities that affect more than one organ or body structure.
C0000773,"Abnormalities, Radiation-Induced",Congenital changes in the morphology of organs produced by exposure to ionizing or non-ionizing radiation.
C0000778,ABO blood group system,The major human blood type system which depends on the presence or absence of two antigens A and B. Type O occurs when neither A nor B is present and AB when both are present. A and B are genetic factors that determine the presence of enzymes for the synthesis of certain glycoproteins mainly in the red cell membrane.
C0000780,Abomasum,"The fourth stomach of ruminating animals. It is also called the ""true"" stomach. It is an elongated pear-shaped sac lying on the floor of the abdomen, on the right-hand side, and roughly between the seventh and twelfth ribs. It leads to the beginning of the small intestine. (From Black's Veterinary Dictionary, 17th ed)"
C0000781,Aborted Fetus (structure),Products of conception expelled or removed upon miscarriage or termination of a pregnancy.
C0000782,Abortifacient Agents,Chemical substances that interrupt pregnancy after implantation.
C0000783,"Abortifacient Agents, Nonsteroidal",Non-steroidal chemical compounds with abortifacient activity.
C0000784,"Abortifacient Agents, Steroidal",Steroidal compounds with abortifacient activity.
C0000786,"HAURGALTZEA, BEREZKOA",Expulsion of the product of FERTILIZATION before completing the term of GESTATION and without deliberate interference.
C0000788,Abortion Applicants,Individuals requesting induced abortions.
C0000804,"Abortion, Criminal",Illegal termination of pregnancy.
C0000806,"Abortion, Eugenic",Abortion performed because of possible fetal defects.
C0000809,"Abortion, Habitual",Three or more consecutive spontaneous abortions.
C0000810,Incomplete spontaneous abortion,Premature loss of PREGNANCY in which not all the products of CONCEPTION have been expelled.
C0000812,Legal abortion (procedure),"Termination of pregnancy under conditions allowed under local laws. (POPLINE Thesaurus, 1991)"
C0000814,Missed abortion,The retention in the UTERUS of a dead FETUS two months or more after its DEATH.
C0000817,"Abortion, Septic","Any type of abortion, induced or spontaneous, that is associated with infection of the UTERUS and its appendages. It is characterized by FEVER, uterine tenderness, and foul discharge."
C0000820,Therapeutic abortion (procedure),"Abortion induced to save the life or health of a pregnant woman. (From Dorland, 28th ed)"
C0000821,Threatened abortion,"UTERINE BLEEDING from a GESTATION of less than 20 weeks without any CERVICAL DILATATION. It is characterized by vaginal bleeding, lower back discomfort, or midline pelvic cramping and a risk factor for MISCARRIAGE."
C0000823,"Abortion, Veterinary",Premature expulsion of the FETUS in animals.
C0000828,Abreaction,"A process in psychotherapy in which the patient is ""desensitized"" to emotionally painful, often forgotten (repressed) memories by recalling and reacting to them in the ""safety"" of the treatment setting."
C0000829,Abrin,"A toxic lectin from the seeds of jequirity, Abrus precatorius L. Very active poison. Five different proteins have so far been isolated: Abrus agglutinin, the component responsible for: hemagglutinating activity, & abrins a-d, the toxic principals each consisting of two peptide chains are held together by disulfide bonds."
C0000832,Abruptio Placentae,"Premature separation of the normally implanted PLACENTA from the UTERUS. Signs of varying degree of severity include UTERINE BLEEDING, uterine MUSCLE HYPERTONIA, and FETAL DISTRESS or FETAL DEATH."
C0000833,Abscess,"Accumulation of purulent material in tissues, organs, or circumscribed spaces, usually associated with signs of infection."
C0000843,Abscisic Acid,"Abscission-accelerating plant growth substance isolated from young cotton fruit, leaves of sycamore, birch, and other plants, and from potatoes, lemons, avocados, and other fruits."
C0000846,Agenesis,A congenital abnormality resulting in the absence of an anatomical structure.
C0000849,Absenteeism,Chronic absence from work or other duty.
C0000850,Absidia (fungus),"A genus of zygomycetous fungi, family Mucoraceae, order MUCORALES, which sometimes causes infection in humans."
C0000853,"Absorptiometry, Photon","A noninvasive method for assessing BODY COMPOSITION. It is based on the differential absorption of X-RAYS (or GAMMA RAYS) by different tissues such as bone, fat and other soft tissues. The source of (X-ray or gamma-ray) photon beam is generated either from radioisotopes such as GADOLINIUM 153, IODINE 125, or Americanium 241 which emit GAMMA RAYS in the appropriate range; or from an X-ray tube which produces X-RAYS in the desired range. It is primarily used for quantitating BONE MINERAL CONTENT, especially for the diagnosis of OSTEOPOROSIS, and also in measuring BONE MINERALIZATION."
C0000857,Abstracting,"The process of creating a summary of the main points of an article, argument, or theory."
C0000858,Abstracting and Indexing,Works about activities performed to identify concepts and aspects of published information and research reports.
C0000866,Dental Abutments,Natural teeth or teeth roots used as anchorage for a fixed or removable denture or other prosthesis (such as an implant) serving the same purpose.
C0000869,Acacia,A plant genus of the family FABACEAE. The gums and tanning agents obtained from Acacia are called GUM ARABIC. The common name catechu is more often used for Areca catechu (ARECA).
C0000872,Academic Medical Centers,"Medical complexes consisting of medical school, hospitals, clinics, libraries, administrative facilities, etc."
C0000877,Academies and Institutes,"Organizations representing specialized fields which are accepted as authoritative; may be non-governmental, university or an independent research organization, e.g., National Academy of Sciences, Brookings Institution, etc."
C0000879,Acanthamoeba,facultative parasite of humans usually causes chronic infectin of the skin or central nervous system; causative agents of keratitis (corneal inflammation and opacity); most common ameba in fresh water and soil.
C0000880,Acanthamoeba Keratitis,Infection of the cornea by an ameboid protozoan which may cause corneal ulceration leading to blindness.
C0000881,Acanthocephala,"A phylum of parasitic worms, closely related to tapeworms and containing two genera: Moniliformis, which sometimes infects man, and Macracanthorhynchus, which infects swine."
C0000886,Acanthocytes,Erythrocytes with protoplasmic projections giving the cell a thorny appearance.
C0000887,Acantholysis,"Separation of the prickle cells of the stratum spinosum of the epidermis, resulting in atrophy of the prickle cell layer. It is seen in diseases such as pemphigus vulgaris (see PEMPHIGUS) and DARIER DISEASE."
C0000889,Acanthosis Nigricans,"A circumscribed melanosis consisting of a brown-pigmented, velvety verrucosity or fine papillomatosis appearing in the axillae and other body folds. It occurs in association with endocrine disorders, underlying malignancy, administration of certain drugs, or as in inherited disorder."
C0000890,Order Acarina,"A large, subclass of arachnids comprising the MITES and TICKS, including parasites of plants, animals, and humans, as well as several important disease vectors."
C0000894,Acceleration,An increase in the rate of speed.
C0000905,Accessory nerve structure,"The 11th cranial nerve which originates from NEURONS in the MEDULLA and in the CERVICAL SPINAL CORD. It has a cranial root, which joins the VAGUS NERVE (10th cranial) and sends motor fibers to the muscles of the LARYNX, and a spinal root, which sends motor fibers to the TRAPEZIUS and the sternocleidomastoid muscles."
C0000918,Accident Prevention,Efforts and designs to reduce the incidence of unexpected undesirable events in various environments and situations.
C0000919,Accident Proneness,Tendency toward involvement in accidents. Implies certain personality characteristics which predispose to accidents.
C0000921,Accidental Falls,Falls due to slipping or tripping which may result in injury.
C0000924,Accidents,"Unexpected and unintentional events, typically resulting in ACCIDENTAL INJURIES."
C0000925,Incised wound,A wound or cleft resulted from tissue separation into parts or laid open or penetrated with a sharp edge or instrument.
C0000928,Aircraft accidents,Unanticipated events associated with AIRCRAFT.
C0000929,Home Accidents,ACCIDENTS which occur within the home.
C0000930,Industrial Accidents,An accident taking place on the site of a commercial enterprise.
C0000931,Occupational Accident,"Unforeseen occurrences, especially injuries in the course of work-related activities."
C0000932,Traffic accidents,"Accidents on streets, roads, and highways involving drivers, passengers, pedestrians, or vehicles. Traffic accidents refer to AUTOMOBILES (passenger cars, buses, and trucks), BICYCLING, and MOTORCYCLES but not OFF-ROAD MOTOR VEHICLES; RAILROADS nor snowmobiles."
C0000934,Acclimatization,Adaptation to a new environment or to a change in the old.
C0000936,Visual Accommodation,"The dioptric adjustment of the EYE (to attain maximal sharpness of retinal imagery for an object of regard) referring to the ability, to the mechanism, or to the process. Ocular accommodation is the effecting of refractive changes by changes in the shape of the CRYSTALLINE LENS. Loosely, it refers to ocular adjustments for VISION, OCULAR at various distances. (Cline et al., Dictionary of Visual Science, 4th ed)"
C0000938,Accounting (activity),System of recording financial transactions.
